post,id
"Кочеткова Ольга Леонидовна #БФУ
""Высшая школа коммуникаций и креативных индустрий""
На сегодняшний день, готово два заявления на имя ректора и в мин.обр, в отношении данного ""педагога"". Ещё одно в процессе написания. Пока мы их не отправили. 
Жалобы готовы пока от студентов, у которых данный ""педагог"" преподавала год назад и более. 
Поэтому пожалуйста, если вы тоже столкнулись с этим ""педагогом"", если она так же ""орала и оскорбляла"" вас, давайте попробуем сделать мир чуточку лучше. Если она преподаёт у вас СЕЙЧАС, то никто не мешает нам отправить жалобу, например летом, её главное написать) 
Утверждение ""да с ней ничего не будет, на неё столько жаловались"", не жизнеспособно. Вы не подали ни одной жалобы, если просто обращались в деканат/к директору. Ваши жалобы оказывались в мусорном ведре. 

Сейчас у меня есть свидетельства того, как этот ""педагог"" позволяла себе язвительные комментарии ПРЯМО НА ЗАЩИТЕ ДИПЛОМА в 2023 году, при приглашённом из другого города специалисте. Вы осознаёте уровень вольности этого человека, да?
На этом фоне, утверждение о криках на своего собственного директора, на начальство, просто меркнут. 

Не оставайтесь равнодушными, даже если ""ой, что было то было"". 
20 минут вашей жизни могут сделать жизни сотни студентов ""экологичнее"". 
_____
Справедливости ради, целый ОДИН человек написал мне в личку положительный отзыв.
Цитата:
""Мы курсом её ненавидели первые 2 месяца, прям искренне, но уже сил не было что-то с ней делать. А потом смирились и начали к ней по-другому относиться, и она раскрыла с новой стороны. Сейчас она у нас не ведёт, и если случайно заходит нам в кабинет, то мы даже радуемся. Как педагог она много требует, даёт средне, но после года учёбы лично у меня реально подтянулся русский, какие-то её мысли были полезны, теперь при написании текстов вспоминаю, что она говорила. Знаю человека, который диплом с ней писал - год этот диплом поливала говном, а на предзащите и самой защите помогала студенту"".",648
"Долгожданный пост о чудесном преподавателе французского языка и высококлассном переводчике - о нашей Светлане Анатольевне Ивановой🧡

Светлана Анатольевна работает на кафедре иностранных языков с 1996 года, прошла путь от преподавателя до доцента, кандидата филологических наук, защитив в 2007 году кандидатскую диссертацию на тему «Семантизация термина в научно-учебном тексте (на материале терминологии радиотехники в русском и французском языках)». 
 Стаж научно-педагогической работы в вузе составляет 26 лет.
 
Преподает на уровнях бакалавриат, специалитет и магистратура.

ЧИТАЕТ КУРСЫ: Теория перевода, Практический курс второго иностранного языка, Культура речевого общения (второй иностранный язык), Практический курс перевода второго иностранного языка.

СФЕРА НАУЧНЫХ ИНТЕРЕСОВ: перевод, когнитивная лингвистика, терминоведение, языки для специальных целей. 

Является членом оргкомитета и руководителем секции ""Современные лингвистические исследования. Вопросы перевода"" международной научной конференции молодых ученых «Актуальные вопросы перевода, лингвистики, истории литературы и фольклора».
 
Имеет более 30 научных публикаций, в том числе 1 монографию; является одним из составителей учебно-методического пособия «Профессиональное образование во Франции и франкоговорящих странах», разработала электронный образовательный ресурс «Страноведение. Франция» (доступ: 
 
Регулярно совершенствует знания практического французского языка и методики его преподавания на стажировках и курсах повышения квалификации во Франции и России ( имеет диплом об углубленном владении французским языком DALF Министерства образования Франции.
 
ПЕРЕВОДЧЕСКИЙ ОПЫТ разнообразен (русский язык ↔ французский язык): гид-переводчик с франкоговорящими туристами в сотрудничестве с турагентствами г. Екатеринбурга; устный последовательный перевод: Евразийский экономический форум молодежи (организатор УрГЭУ), Международная промышленная выставка ИННОПРОМ, Учебный центр Пластэк-Урал (обучение и повышение квалификации мастеров индустрии красоты), Симпозиум по возможностям делового сотрудничества и торговли между Россией и Марокко, Французско-российские деловые встречи (Екатеринбург), стажировка персонала ООО «Кейтеринбург» (г. Гренобль, Франция); письменный перевод технической документации и пакета документов для участия в тендере на проведение научно-исследовательской работы по металлургии для ОАО «ВНИИМТ» (Екатеринбург) и FERAAL Spa (Алжир) и др. 
 
Если уйти от сухих биографических данных, то…
 
– Почему Вы выбрали эту профессию?
 
СА: Всегда привлекала сфера общения с людьми, нравилось что-то объяснять своим сверстникам и младшим друзьям и братьям. Но решающим в выборе стало прочтение книги Жюля Верна «Дети капитана Гранта», особенно первой главы, в которой описывается, как, поймав акулу, герои находят внутри нее бутылку с тремя листками бумаги, где написан один и тот же текст на трех разных языках. Строчки размыты на этих листках в разных местах, а они сопоставляют различимые отрывки и составляют единый текст, причем делают это без словарей, сходу. Вот такое знание иностранных языков, да еще и нескольких, меня впечатлило настолько, что я решила стать преподавателем иностранных языков.
 
– Чем Вас привлекает Ваша профессия?
 
СА: Возможностью общаться с разными интересными людьми, как молодыми - студентами, так и умудренными жизненным и профессиональным опытом – коллегами; постоянным творчеством, ведь каждый урок – это убеждающая презентация знаний, то есть надо убедить студента эти знания усвоить, а для этого находишься в постоянном поиске разнообразных и эффективных педагогических решений, несешь знания и сам познаешь, постоянно развиваешься.
 
– Довольны ли Вы, что выбрали когда-то эту профессию? 
СА: Если говорить о призвании, то да.
 
– Кому бы Вы могли порекомендовать свою профессию? 
СА: Самоотверженным и увлеченным, тем, кому нравится учить и учиться, но не поучать.
 
– Нужны ли какие-то особые качества человеку, который решил стать специалистом в этой области? 
СА: Особые – нет. Любить людей, любить своё дело.
 
– Сколько лет нужно учиться, чтобы получить данную профессию? 
СА: Начать с вуза и продолжать всю жизнь.
 
– Что бы Вам хотелось сказать о преподаваемых предметах? 
СА: Говоря о важности предмета «Теория перевода», процитирую одного из отечественных переводоведов, Л.С.Бархударова: «Без научно обоснованной теории перевода ныне не может быть успешной переводческой практики – такова непреложная истина, которую бесполезно оспаривать». Именно эту мысль пытаюсь донести до первокурсников, опираясь на их опыт взаимодействия теории и практики на основе школьных предметов. Ведь для них бесспорно понятно, что, например, для решения алгебраического выражения надо воспользоваться формулой, а для того, чтобы получить ответ к геометрической задаче или задаче по физике или химии, нужно знание соответствующей теоремы или закона. И эти формулы, теоремы, законы возникли не сразу, а верифицировались поколениями ученых и практиков, прежде чем встали на службу специалистам конкретных областей знаний. Тот же принцип представляется базовым и в переводческой деятельности. На лекциях опираемся на исторический контекст, рассуждаем, сравниваем эпохи, страны, выводим цепочки преобразований переводческой мысли, начиная с самых древних времен и заканчивая осознанием сформулированных на сегодняшний день постулатов и алгоритмов в арсенале современного переводчика. 
 
А о моём обожаемом французском языке могу говорить/петь/танцевать без устали! Но об этом будет отдельный пост… Скажу лишь, что от души и от сердца делюсь знаниями со своим подопечными и искренне радуюсь как их успехам во время учёбы, так и их профессиональным и личностным реализациям после окончания университета.  🧡",446
"Кандидат 3⃣
  Привет, Я-Алёна Макаревич, студентка 2 курса ПОДО. Я очень люблю наш институт искусств и всех ребят, которые у нас учатся. 
  
  Актив нашего института стал для меня настоящей семьёй. Мы испытали очень много ярких эмоций: готовили праздники, снимали видео для квеста на хэллоуин, ездили вместе на слёт актива НГПУ и просто хорошо проводили время за интересными разговорами. 
  
  Я бы хотела чтобы актив нашего института развивался и чаще общался с ребятами из других факультетов. А ещё я, как и многие, хочу чтобы поскорее открылась столовая 😅.
  
  Я хочу организовать на базе нашего вуза несколько кружков по интересам, чтобы ребята из разных групп и потоков могли знакомится друг с другом, находить себе надёжных товарищей по учёбе и друзей по увлечениям. 
  
  Считаю, что мы вместе сможем сделать нашу студенческую жизнь ярче и интересней!!!💕",614
"Это что за образование такое которое душит и заставляет молодежь с окна бросаться?🤔 Охраннику отдельный респект🙏🏻 Анонимно если можно, админу пледик)",1233
"Хочу, бля, сказать этой ёбаной Брызгэлиной нахуй, блять: ебомбаная... Ёбаный ты бегемот нахуй, философский, блять, была бы ты человек нахуй. Тебе премию вручают нахуй, где-нибудь, нахуй, блять, форум по биопенису, наверно, проводится хуй знает где нахуй, бля, а студенты гибнут на экзамене нахуй, почему так нахуй? 
Почему студенты должны... Они даже студенты... Вечные студенты нахуй, это наше будущее нахуй, и хули ты пиздишь ц-сука, автоматы отменяешь, блять, ты преподаёшь где-то на филосфакультете, хуй через знает где, блять, хули ты сюда лезешь... К юристам нахуй. Запомни — у меня есть, блять, хороший, бля, человек, я его, сука, блять, отдам деньги, чтоб те, сука, за работу въебал 10 баллов нахуй, и чтобы ты закрылась нахуй, и никогда сюда не лезла, поняла? Быдло ты ебаное, блять! Всё нахуй.",1187
"Я ленюсь давать вам семинар, так как сам редко появляюсь на парах.

А. В. Штолер",1253
"Ура!!! Мы снова начинаем репетиции нашего театра ""АСОбенные люди"". В этом году у нас новые задачи- настало время для гастрольной деятельности!! А почему? Потому что нас все чаще стали приглашать наши коллеги из колледжей Казани с уже нашумевшими постановками ""Улыбаемся?!"" и гражданско-патриотической-лирико-драматической ""С чего начинается Родина?"". В этом году у нас будут не просто редкие выступления по приглашениям, а целый проект  Оргкомитет проекта уже провёл первые совещания.  А пока вспоминаем текст и репетируем знакомые роли. Первая встреча уже в субботу 13 августа в кабинете Студсовета!",1136
"Что делать, если учёба доводит до слёз? Ничего не понимаю. Когда читаю, не понятно, что важно, а что нет, из-за этого очень х*ёво и не хочется дальше читать. А это всего лишь 2 курс. 
Анон",1205
"Я учусь в [club24215107|Алтайском Государственном Техническом Университете имени И. И. Ползунова] на [club76602654|Факультете специальных технологий] по специальности конструктор-технолог. Эта именно та специальность, с которой в дальнейшем будет связана вся моя жизнь.

В этом году я закончила свой первый курс, который оставил после себя большое количество приятных воспоминаний и значимых моментов. Я поняла, что за время обучения в вузе можно получить не только хорошее образование, но и огромный толчок к самореализации и саморазвитию. Большую роль для меня сыграл актив ФСТ, именно здесь я познакомилась с большим количеством интересных и по-настоящему талантливых людей, которые в дальнейшем стали моими друзьями.
 
Активистами ФСТ и других факультетов, проводятся различные мероприятия которые позволяют студентам отвлечься от учебы, узнать свой потенциал, развить и показать свои умения, открыть в себе что-то новое и просто приятно провести время. За свой первый год обучения я побывала на нескольких мероприятиях, где была как участником, так и зрителем. Теперь я с уверенностью могу сказать, что каждое из этих мероприятий оставит у вас кучу приятных воспоминаний.

Хочу сказать, большое спасибо, активу ФСТ за такое огромное количество ярких и незабываемых эмоций.

[id454797378|©Лиза Салахова]",1273
"Что делать если я хочу въ*бать преподу? Я просто не могу какой он душный и токсичный. Строит из себя боженьку",1197
